Latitude_fireFile,Longitude_fireFile,brightness,scan,track,bright_t31,frp,daynight,type,Sample Measurement,Units of Measure,MDL,fire_occurred
37.0404,-119.9551,310.2,1.8,1.3,291.3,16.5,D,0,347.6,Degrees Compass,0.1,1
39.3381,-121.6651,304.4,1.1,1.1,292.3,5.9,D,2,0.9,Knots,0.1,0
39.3381,-121.6651,304.4,1.1,1.1,292.3,5.9,D,2,122.0,Degrees Compass,0.1,0
38.9138,-120.0349,314.9,1.0,1.0,281.1,16.1,D,0,1.3,Knots,0.1,0
38.9138,-120.0349,314.9,1.0,1.0,281.1,16.1,D,0,175.0,Degrees Compass,0.1,0
33.9914,-117.3885,326.9,1.0,1.0,285.9,27.7,N,2,2.0,Knots,0.1,1
33.9914,-117.3885,326.9,1.0,1.0,285.9,27.7,N,2,170.0,Degrees Compass,1.0,1
33.9898,-117.3992,310.2,1.0,1.0,285.3,11.9,N,2,2.0,Knots,0.1,1
33.9898,-117.3992,310.2,1.0,1.0,285.3,11.9,N,2,170.0,Degrees Compass,1.0,1
39.5409,-122.2487,309.8,1.8,1.3,292.8,16.2,D,0,1.3,Knots,0.1,0
39.5409,-122.2487,309.8,1.8,1.3,292.8,16.2,D,0,275.0,Degrees Compass,0.1,0
39.1727,-121.9625,337.5,1.5,1.2,296.7,64.1,D,0,0.3,Knots,0.1,1
39.1727,-121.9625,337.5,1.5,1.2,296.7,64.1,D,0,339.0,Degrees Compass,0.1,1
39.1696,-121.979,310.0,1.5,1.2,296.8,10.3,D,0,0.3,Knots,0.1,1
39.1696,-121.979,310.0,1.5,1.2,296.8,10.3,D,0,339.0,Degrees Compass,0.1,1
40.5408,-121.5738,367.3,1.6,1.2,292.0,219.0,D,0,0.2,Knots,0.1,1
40.5408,-121.5738,367.3,1.6,1.2,292.0,219.0,D,0,73.0,Degrees Compass,0.1,1
